tweet_english,tokenize_tweet,labels,cleaned_tweet
Allahumma sholli wasallim ala Sayyidina Muhammad,"['Allahumma', 'sholli', 'wasallim', 'ala', 'Sayyidina', 'Muhammad']",netral,Allahumma sholli wasallim ala Sayyidina Muhammad
time for change,"['time', 'for', 'change']",netral,time change
cool gokillll cool challengetest in whose name,"['cool', 'gokillll', 'cool', 'challengetest', 'in', 'whose', 'name']",positif,cool gokillll cool challengetest
"Good morning mothers who are preparing their children for school or preparing complementary feeding and all kinds of busy mother activities, let's listen to what Amin says about women.","['Good', 'morning', 'mothers', 'who', 'are', 'preparing', 'their', 'children', 'for', 'school', 'or', 'preparing', 'complementary', 'feeding', 'and', 'all', 'kinds', 'of', 'busy', 'mother', 'activities', ',', 'let', ""'s"", 'listen', 'to', 'what', 'Amin', 'says', 'about', 'women', '.']",positif,"morning mothers preparing children school preparing complementary feeding kinds busy mother activities , 's listen Amin women ."
Anies dominates social media after the debate,"['Anies', 'dominates', 'social', 'media', 'after', 'the', 'debate']",positif,Anies dominates social media debate
amen ticket beat coldplay,"['amen', 'ticket', 'beat', 'coldplay']",netral,amen ticket beat coldplay
as well as a covered carcass will smell too,"['as', 'well', 'as', 'a', 'covered', 'carcass', 'will', 'smell', 'too']",positif,covered carcass smell
"This is a dog campaign, not an extraordinary concert. Ah, people want change","['This', 'is', 'a', 'dog', 'campaign', ',', 'not', 'an', 'extraordinary', 'concert', '.', 'Ah', ',', 'people', 'want', 'change']",positif,"dog campaign , extraordinary concert . , people change"
"The presidential campaign in Pare, South Sulawesi went viral on social media. Recently, the campaign went viral due to the story of someone who was seen crying in front of Anies Pare. After being investigated, it turned out that the legislative candidate from PKS also had a restaurant.","['The', 'presidential', 'campaign', 'in', 'Pare', ',', 'South', 'Sulawesi', 'went', 'viral', 'on', 'social', 'media', '.', 'Recently', ',', 'the', 'campaign', 'went', 'viral', 'due', 'to', 'the', 'story', 'of', 'someone', 'who', 'was', 'seen', 'crying', 'in', 'front', 'of', 'Anies', 'Pare', '.', 'After', 'being', 'investigated', ',', 'it', 'turned', 'out', 'that', 'the', 'legislative', 'candidate', 'from', 'PKS', 'also', 'had', 'a', 'restaurant', '.']",negatif,"presidential campaign Pare , South Sulawesi viral social media . , campaign viral story crying Anies Pare . investigated , legislative candidate PKS restaurant ."
"In the past, he was not a supporter of Anies Baswedan and was even very antipathetic. Through Covid, Allah has opened his eyes and heart to his wrong views towards Mr. and he has moved and is ready to testify to what he has said.","['In', 'the', 'past', ',', 'he', 'was', 'not', 'a', 'supporter', 'of', 'Anies', 'Baswedan', 'and', 'was', 'even', 'very', 'antipathetic', '.', 'Through', 'Covid', ',', 'Allah', 'has', 'opened', 'his', 'eyes', 'and', 'heart', 'to', 'his', 'wrong', 'views', 'towards', 'Mr.', 'and', 'he', 'has', 'moved', 'and', 'is', 'ready', 'to', 'testify', 'to', 'what', 'he', 'has', 'said', '.']",negatif,", supporter Anies Baswedan antipathetic . Covid , Allah eyes heart wrong views Mr. moved ready testify ."
They really do a lot of drama using the gimmick of pretending to be all farmers,"['They', 'really', 'do', 'a', 'lot', 'of', 'drama', 'using', 'the', 'gimmick', 'of', 'pretending', 'to', 'be', 'all', 'farmers']",positif,lot drama gimmick pretending farmers
explain Anies Baswed's ideas well and have the potential to convince voters who are still undecided,"['explain', 'Anies', 'Baswed', ""'s"", 'ideas', 'well', 'and', 'have', 'the', 'potential', 'to', 'convince', 'voters', 'who', 'are', 'still', 'undecided']",positif,explain Anies Baswed 's ideas potential convince voters undecided
trump card that can bring Anies to win the round,"['trump', 'card', 'that', 'can', 'bring', 'Anies', 'to', 'win', 'the', 'round']",positif,trump card bring Anies win
Take care of the grass first and then Indonesian football will progress,"['Take', 'care', 'of', 'the', 'grass', 'first', 'and', 'then', 'Indonesian', 'football', 'will', 'progress']",positif,care grass Indonesian football progress
"It's crazy, just found out that Mr. Anies is still talking about this, he can't work, try opening the link, that's everything Mr. Anies did while in Jakarta and that's original data from the DKI Jakarta website.","['It', ""'s"", 'crazy', ',', 'just', 'found', 'out', 'that', 'Mr.', 'Anies', 'is', 'still', 'talking', 'about', 'this', ',', 'he', 'ca', ""n't"", 'work', ',', 'try', 'opening', 'the', 'link', ',', 'that', ""'s"", 'everything', 'Mr.', 'Anies', 'did', 'while', 'in', 'Jakarta', 'and', 'that', ""'s"", 'original', 'data', 'from', 'the', 'DKI', 'Jakarta', 'website', '.']",netral,"'s crazy , Mr. Anies talking , n't , link , 's Mr. Anies Jakarta 's original data DKI Jakarta ."
sign language for time for change,"['sign', 'language', 'for', 'time', 'for', 'change']",netral,sign language time change
"some have it, some don't","['some', 'have', 'it', ',', 'some', 'do', ""n't""]",netral,", n't"
"Those who don't get tickets will still come because this is a free event and remember, don't buy tickets because it's free","['Those', 'who', 'do', ""n't"", 'get', 'tickets', 'will', 'still', 'come', 'because', 'this', 'is', 'a', 'free', 'event', 'and', 'remember', ',', 'do', ""n't"", 'buy', 'tickets', 'because', 'it', ""'s"", 'free']",positif,"n't tickets event remember , n't tickets 's"
Simple leaders do not enrich themselves,"['Simple', 'leaders', 'do', 'not', 'enrich', 'themselves']",netral,Simple leaders enrich
"How can the agency when trainees like this want to make their debut directly at the stadium, which is true, I can't stop thinking","['How', 'can', 'the', 'agency', 'when', 'trainees', 'like', 'this', 'want', 'to', 'make', 'their', 'debut', 'directly', 'at', 'the', 'stadium', ',', 'which', 'is', 'true', ',', 'I', 'ca', ""n't"", 'stop', 'thinking']",positif,"agency trainees debut stadium , true , n't thinking"
Amen wins the round,"['Amen', 'wins', 'the', 'round']",positif,Amen wins
"hahaha wait a minute, there will be people who will vow to give free anti-fake singing lessons to Sir","['hahaha', 'wait', 'a', 'minute', ',', 'there', 'will', 'be', 'people', 'who', 'will', 'vow', 'to', 'give', 'free', 'anti-fake', 'singing', 'lessons', 'to', 'Sir']",positif,"hahaha wait minute , people vow anti-fake singing lessons Sir"
"I let go of myself, Anies Rengasdengklok, I'm on Wednesday holiday, Amen, Arek sings, friends, Taurus, Libra, punishment","['I', 'let', 'go', 'of', 'myself', ',', 'Anies', 'Rengasdengklok', ',', 'I', ""'m"", 'on', 'Wednesday', 'holiday', ',', 'Amen', ',', 'Arek', 'sings', ',', 'friends', ',', 'Taurus', ',', 'Libra', ',', 'punishment']",positif,", Anies Rengasdengklok , 'm Wednesday holiday , Amen , Arek sings , friends , Taurus , Libra , punishment"
"This is a survey of real data, not fake guarantees and estimates of the people's sincere love for Anies cannot be exchanged for anything by the president","['This', 'is', 'a', 'survey', 'of', 'real', 'data', ',', 'not', 'fake', 'guarantees', 'and', 'estimates', 'of', 'the', 'people', ""'s"", 'sincere', 'love', 'for', 'Anies', 'can', 'not', 'be', 'exchanged', 'for', 'anything', 'by', 'the', 'president']",positif,"survey real data , fake guarantees estimates people 's love Anies exchanged president"
Adhie Massardi This republic will be controlled by oligarchs if Anies Baswedan loses,"['Adhie', 'Massardi', 'This', 'republic', 'will', 'be', 'controlled', 'by', 'oligarchs', 'if', 'Anies', 'Baswedan', 'loses']",negatif,Adhie Massardi republic controlled oligarchs Anies Baswedan loses
"assalamualaikum bro, I'll give you permission for personal color analysis, bro","['assalamualaikum', 'bro', ',', 'I', ""'ll"", 'give', 'you', 'permission', 'for', 'personal', 'color', 'analysis', ',', 'bro']",netral,"assalamualaikum bro , permission personal color analysis , bro"
move together to fight for change,"['move', 'together', 'to', 'fight', 'for', 'change']",negatif,fight change
unite Indonesia one round,"['unite', 'Indonesia', 'one', 'round']",netral,unite Indonesia
ready to welcome big changes in the nation,"['ready', 'to', 'welcome', 'big', 'changes', 'in', 'the', 'nation']",positif,ready nation
Kindness always finds its way to appear on the surface. I am a good leader who is always there for his people,"['Kindness', 'always', 'finds', 'its', 'way', 'to', 'appear', 'on', 'the', 'surface', '.', 'I', 'am', 'a', 'good', 'leader', 'who', 'is', 'always', 'there', 'for', 'his', 'people']",positif,Kindness surface . leader people
Prabowo promises to build floating houses,"['Prabowo', 'promises', 'to', 'build', 'floating', 'houses']",positif,Prabowo promises build floating houses
Anies was deliberately inciting,"['Anies', 'was', 'deliberately', 'inciting']",netral,Anies deliberately inciting
El Samsul is always at the front,"['El', 'Samsul', 'is', 'always', 'at', 'the', 'front']",netral,El Samsul
Raim Laode not only has a melodious voice but is also intelligent in his head,"['Raim', 'Laode', 'not', 'only', 'has', 'a', 'melodious', 'voice', 'but', 'is', 'also', 'intelligent', 'in', 'his', 'head']",positif,Raim Laode melodious voice intelligent head
I hope that on February all Indonesian supporters can flood this stadium,"['I', 'hope', 'that', 'on', 'February', 'all', 'Indonesian', 'supporters', 'can', 'flood', 'this', 'stadium']",positif,hope February Indonesian supporters flood stadium
"Sophisticated cellphone, great specs, good camera and most importantly, cheap price, only Poco M Pro","['Sophisticated', 'cellphone', ',', 'great', 'specs', ',', 'good', 'camera', 'and', 'most', 'importantly', ',', 'cheap', 'price', ',', 'only', 'Poco', 'M', 'Pro']",positif,"Sophisticated cellphone , specs , camera importantly , cheap price , Poco Pro"
take note of it carefully,"['take', 'note', 'of', 'it', 'carefully']",positif,note carefully
track record happy year as governor,"['track', 'record', 'happy', 'year', 'as', 'governor']",positif,track record happy governor
"the definition of not being able to work if he is surrounded by corruption, bro, you are a leader, you still live in that house, you don't have hectares of land, but I said, given this mandate, not to negotiate with rupiah, there are still honest leaders","['the', 'definition', 'of', 'not', 'being', 'able', 'to', 'work', 'if', 'he', 'is', 'surrounded', 'by', 'corruption', ',', 'bro', ',', 'you', 'are', 'a', 'leader', ',', 'you', 'still', 'live', 'in', 'that', 'house', ',', 'you', 'do', ""n't"", 'have', 'hectares', 'of', 'land', ',', 'but', 'I', 'said', ',', 'given', 'this', 'mandate', ',', 'not', 'to', 'negotiate', 'with', 'rupiah', ',', 'there', 'are', 'still', 'honest', 'leaders']",positif,"definition surrounded corruption , bro , leader , live house , n't hectares land , , mandate , negotiate rupiah , honest leaders"
"really agree, he is present for the people, not looking for a living in the government, he is the one who revives the government to be a light for the people. This is very rare if his brain is profit-oriented, his job in the city already has everything, it's clean, honest, trustworthy","['really', 'agree', ',', 'he', 'is', 'present', 'for', 'the', 'people', ',', 'not', 'looking', 'for', 'a', 'living', 'in', 'the', 'government', ',', 'he', 'is', 'the', 'one', 'who', 'revives', 'the', 'government', 'to', 'be', 'a', 'light', 'for', 'the', 'people', '.', 'This', 'is', 'very', 'rare', 'if', 'his', 'brain', 'is', 'profit-oriented', ',', 'his', 'job', 'in', 'the', 'city', 'already', 'has', 'everything', ',', 'it', ""'s"", 'clean', ',', 'honest', ',', 'trustworthy']",positif,"agree , people , living government , revives government light people . rare brain profit-oriented , job city , 's clean , honest , trustworthy"
"From me, I'm a regional person whose question paper, Mr. Anies, put in his chest pocket when he was in Sintang. I hope you answered the question, sir, it's not a small change question about abbreviations and so on. I hope you will bring the paper and answer it later.","['From', 'me', ',', 'I', ""'m"", 'a', 'regional', 'person', 'whose', 'question', 'paper', ',', 'Mr.', 'Anies', ',', 'put', 'in', 'his', 'chest', 'pocket', 'when', 'he', 'was', 'in', 'Sintang', '.', 'I', 'hope', 'you', 'answered', 'the', 'question', ',', 'sir', ',', 'it', ""'s"", 'not', 'a', 'small', 'change', 'question', 'about', 'abbreviations', 'and', 'so', 'on', '.', 'I', 'hope', 'you', 'will', 'bring', 'the', 'paper', 'and', 'answer', 'it', 'later', '.']",positif,", 'm regional person question paper , Mr. Anies , chest pocket Sintang . hope answered question , sir , 's change question abbreviations . hope bring paper answer ."
"Thank God, the extended family of the in-laws and in-laws were successfully convinced to choose a partner","['Thank', 'God', ',', 'the', 'extended', 'family', 'of', 'the', 'in-laws', 'and', 'in-laws', 'were', 'successfully', 'convinced', 'to', 'choose', 'a', 'partner']",positif,"God , extended family in-laws in-laws convinced choose partner"
"guys, does anyone know this? SIREKAP, if this is the case, what should I do? Help","['guys', ',', 'does', 'anyone', 'know', 'this', '?', 'SIREKAP', ',', 'if', 'this', 'is', 'the', 'case', ',', 'what', 'should', 'I', 'do', '?', 'Help']",positif,"guys , ? SIREKAP , , ?"
spirit of fighting for the Republic of Indonesia,"['spirit', 'of', 'fighting', 'for', 'the', 'Republic', 'of', 'Indonesia']",negatif,spirit fighting Republic Indonesia
amen,['amen'],netral,amen
Abah Anies is indeed different,"['Abah', 'Anies', 'is', 'indeed', 'different']",netral,Abah Anies
"Whether you get a ticket or not, you'll still gather and the Amen campaign will be busy at JIS","['Whether', 'you', 'get', 'a', 'ticket', 'or', 'not', ',', 'you', ""'ll"", 'still', 'gather', 'and', 'the', 'Amen', 'campaign', 'will', 'be', 'busy', 'at', 'JIS']",netral,"ticket , gather Amen campaign busy JIS"
The virtual queue for tickets to Amen's grand gathering at JIS overflowed with patient registrants for hours,"['The', 'virtual', 'queue', 'for', 'tickets', 'to', 'Amen', ""'s"", 'grand', 'gathering', 'at', 'JIS', 'overflowed', 'with', 'patient', 'registrants', 'for', 'hours']",positif,virtual queue tickets Amen 's grand gathering JIS overflowed patient registrants hours
"thank God, hopefully it will be the same in Canada, amen, greetings of change from Canada","['thank', 'God', ',', 'hopefully', 'it', 'will', 'be', 'the', 'same', 'in', 'Canada', ',', 'amen', ',', 'greetings', 'of', 'change', 'from', 'Canada']",positif,"God , Canada , amen , change Canada"
Anies about social assistance via,"['Anies', 'about', 'social', 'assistance', 'via']",netral,Anies social assistance
Bismillah win amen for change in a more just and prosperous Indonesia amen,"['Bismillah', 'win', 'amen', 'for', 'change', 'in', 'a', 'more', 'just', 'and', 'prosperous', 'Indonesia', 'amen']",positif,Bismillah win amen change prosperous Indonesia amen
"a leader must have these criteria, they are niniak mamak, clever ulama, cadiak, whoever we choose or choose according to our conscience.","['a', 'leader', 'must', 'have', 'these', 'criteria', ',', 'they', 'are', 'niniak', 'mamak', ',', 'clever', 'ulama', ',', 'cadiak', ',', 'whoever', 'we', 'choose', 'or', 'choose', 'according', 'to', 'our', 'conscience', '.']",positif,"leader criteria , niniak mamak , clever ulama , cadiak , choose choose conscience ."
ready to attend to support Abah Aniesmuhaimin,"['ready', 'to', 'attend', 'to', 'support', 'Abah', 'Aniesmuhaimin']",positif,ready attend support Abah Aniesmuhaimin
"even though I don't understand Madurese, the point is to choose Amin Anies Muhaimin","['even', 'though', 'I', 'do', ""n't"", 'understand', 'Madurese', ',', 'the', 'point', 'is', 'to', 'choose', 'Amin', 'Anies', 'Muhaimin']",netral,"n't understand Madurese , choose Amin Anies Muhaimin"
Presidential candidate number Anies Baswedan asked any party not to act cruelly towards the common people regarding the Bayam Stacking Village polemic. Download now on the Play Store and App Store.,"['Presidential', 'candidate', 'number', 'Anies', 'Baswedan', 'asked', 'any', 'party', 'not', 'to', 'act', 'cruelly', 'towards', 'the', 'common', 'people', 'regarding', 'the', 'Bayam', 'Stacking', 'Village', 'polemic', '.', 'Download', 'now', 'on', 'the', 'Play', 'Store', 'and', 'App', 'Store', '.']",positif,Presidential candidate Anies Baswedan party cruelly common people Bayam Stacking Village polemic . Download Play Store App Store .
Abah's track record is increasingly coming in blindly,"['Abah', ""'s"", 'track', 'record', 'is', 'increasingly', 'coming', 'in', 'blindly']",netral,Abah 's track record increasingly coming blindly
both of them r so touched everyone will cry until the tears dry on x on tiktok,"['both', 'of', 'them', 'r', 'so', 'touched', 'everyone', 'will', 'cry', 'until', 'the', 'tears', 'dry', 'on', 'x', 'on', 'tiktok']",negatif,touched tears dry tiktok
"Just one month ago, Pak Prabowo was promised a house on stilts, but it immediately came true","['Just', 'one', 'month', 'ago', ',', 'Pak', 'Prabowo', 'was', 'promised', 'a', 'house', 'on', 'stilts', ',', 'but', 'it', 'immediately', 'came', 'true']",positif,"month , Pak Prabowo promised house stilts , true"
ahn nice talented ahn nice rounder ahn nice best rapper ahn nice best dancer ahn nice best boy,"['ahn', 'nice', 'talented', 'ahn', 'nice', 'rounder', 'ahn', 'nice', 'best', 'rapper', 'ahn', 'nice', 'best', 'dancer', 'ahn', 'nice', 'best', 'boy']",positif,ahn nice talented ahn nice rounder ahn nice rapper ahn nice dancer ahn nice boy
humble since birth it would be a loss if you skip via,"['humble', 'since', 'birth', 'it', 'would', 'be', 'a', 'loss', 'if', 'you', 'skip', 'via']",negatif,humble birth loss skip
Even though I lost the war ticket tomorrow it still doesn't dampen my father's enthusiasm for change,"['Even', 'though', 'I', 'lost', 'the', 'war', 'ticket', 'tomorrow', 'it', 'still', 'does', ""n't"", 'dampen', 'my', 'father', ""'s"", 'enthusiasm', 'for', 'change']",negatif,lost war ticket tomorrow n't dampen father 's enthusiasm change
I'm sure that the percentage of votes from Malaysia is that this country has the record for having the most number of overseas voters,"['I', ""'m"", 'sure', 'that', 'the', 'percentage', 'of', 'votes', 'from', 'Malaysia', 'is', 'that', 'this', 'country', 'has', 'the', 'record', 'for', 'having', 'the', 'most', 'number', 'of', 'overseas', 'voters']",positif,'m percentage votes Malaysia country record overseas voters
Abina pretended to be tending the stall while hanging on to the hallam foe,"['Abina', 'pretended', 'to', 'be', 'tending', 'the', 'stall', 'while', 'hanging', 'on', 'to', 'the', 'hallam', 'foe']",negatif,Abina pretended tending stall hanging hallam foe
"Anies implements contract farming, crop failure will be borne by the state via","['Anies', 'implements', 'contract', 'farming', ',', 'crop', 'failure', 'will', 'be', 'borne', 'by', 'the', 'state', 'via']",negatif,"Anies implements contract farming , crop failure borne"
time for changes,"['time', 'for', 'changes']",netral,time
Don't forget to vote for us,"['Do', ""n't"", 'forget', 'to', 'vote', 'for', 'us']",positif,n't forget vote
"It's true that the viral video of fishermen complaining to Anies Baswedan, the PKS legislative candidate, the video uploaded by a TikTok account, shows a resident claiming to be a fisherman in Parepare","['It', ""'s"", 'true', 'that', 'the', 'viral', 'video', 'of', 'fishermen', 'complaining', 'to', 'Anies', 'Baswedan', ',', 'the', 'PKS', 'legislative', 'candidate', ',', 'the', 'video', 'uploaded', 'by', 'a', 'TikTok', 'account', ',', 'shows', 'a', 'resident', 'claiming', 'to', 'be', 'a', 'fisherman', 'in', 'Parepare']",positif,"'s true viral video fishermen complaining Anies Baswedan , PKS legislative candidate , video uploaded TikTok account , resident claiming fisherman Parepare"
"Amen, the best","['Amen', ',', 'the', 'best']",positif,"Amen ,"
"the party that the people are waiting for should run freely, honestly and fairly, but what can it do, everything is ruined by those who are held hostage by dirty politics","['the', 'party', 'that', 'the', 'people', 'are', 'waiting', 'for', 'should', 'run', 'freely', ',', 'honestly', 'and', 'fairly', ',', 'but', 'what', 'can', 'it', 'do', ',', 'everything', 'is', 'ruined', 'by', 'those', 'who', 'are', 'held', 'hostage', 'by', 'dirty', 'politics']",negatif,"party people waiting freely , honestly , , ruined held hostage dirty politics"
gasss kakaka wakanda t-shirt no more indonesia forever amp abah owl t-shirt yokkkk asking for the amen event at jis interested can dm or meet at jis,"['gasss', 'kakaka', 'wakanda', 't-shirt', 'no', 'more', 'indonesia', 'forever', 'amp', 'abah', 'owl', 't-shirt', 'yokkkk', 'asking', 'for', 'the', 'amen', 'event', 'at', 'jis', 'interested', 'can', 'dm', 'or', 'meet', 'at', 'jis']",positif,gasss kakaka wakanda t-shirt indonesia amp abah owl t-shirt yokkkk amen event jis meet jis
"It must be big enough to play honestly, finally the truth has been revealed that the unilateral claims of supporters of one of the candidate pairs are just nonsense","['It', 'must', 'be', 'big', 'enough', 'to', 'play', 'honestly', ',', 'finally', 'the', 'truth', 'has', 'been', 'revealed', 'that', 'the', 'unilateral', 'claims', 'of', 'supporters', 'of', 'one', 'of', 'the', 'candidate', 'pairs', 'are', 'just', 'nonsense']",positif,"play honestly , finally truth revealed unilateral claims supporters candidate pairs nonsense"
welcome change,"['welcome', 'change']",positif,change
"This is the real program prepared by Aniesmuhaimin for Indonesian teachers, Muhaimin","['This', 'is', 'the', 'real', 'program', 'prepared', 'by', 'Aniesmuhaimin', 'for', 'Indonesian', 'teachers', ',', 'Muhaimin']",positif,"real program prepared Aniesmuhaimin Indonesian teachers , Muhaimin"
"Apart from being clever at talking nonsense, it turns out that Anies & Sappe, the PKS cadres, are also good actors, guys","['Apart', 'from', 'being', 'clever', 'at', 'talking', 'nonsense', ',', 'it', 'turns', 'out', 'that', 'Anies', '&', 'Sappe', ',', 'the', 'PKS', 'cadres', ',', 'are', 'also', 'good', 'actors', ',', 'guys']",positif,"clever talking nonsense , Anies & Sappe , PKS cadres , actors , guys"
the champion anies for president,"['the', 'champion', 'anies', 'for', 'president']",positif,champion anies president
this is not a hoax,"['this', 'is', 'not', 'a', 'hoax']",positif,hoax
Anies promised via,"['Anies', 'promised', 'via']",positif,Anies promised
Anies Baswedan started the event by performing sign language in time for the changes he made during the final presidential election debate,"['Anies', 'Baswedan', 'started', 'the', 'event', 'by', 'performing', 'sign', 'language', 'in', 'time', 'for', 'the', 'changes', 'he', 'made', 'during', 'the', 'final', 'presidential', 'election', 'debate']",netral,Anies Baswedan started event performing sign language time final presidential election debate
Anies said that the city of Parepare would be a built city,"['Anies', 'said', 'that', 'the', 'city', 'of', 'Parepare', 'would', 'be', 'a', 'built', 'city']",netral,Anies city Parepare built city
"Next, Mr. Prabowo, don't be emotional, so I won't be excited anymore, right? I'm waiting for the next debate","['Next', ',', 'Mr.', 'Prabowo', ',', 'do', ""n't"", 'be', 'emotional', ',', 'so', 'I', 'wo', ""n't"", 'be', 'excited', 'anymore', ',', 'right', '?', 'I', ""'m"", 'waiting', 'for', 'the', 'next', 'debate']",negatif,", Mr. Prabowo , n't emotional , wo n't excited , ? 'm waiting debate"
"Anies has an answer when asked similar to Sgie during the presidential debate, KPU mentions new rules in the debate via","['Anies', 'has', 'an', 'answer', 'when', 'asked', 'similar', 'to', 'Sgie', 'during', 'the', 'presidential', 'debate', ',', 'KPU', 'mentions', 'new', 'rules', 'in', 'the', 'debate', 'via']",netral,"Anies answer Sgie presidential debate , KPU mentions rules debate"
It turns out that all this time the star fruit was the vegetable of Dua Imin and Mahpud Bocah Pah Poh,"['It', 'turns', 'out', 'that', 'all', 'this', 'time', 'the', 'star', 'fruit', 'was', 'the', 'vegetable', 'of', 'Dua', 'Imin', 'and', 'Mahpud', 'Bocah', 'Pah', 'Poh']",netral,time star fruit vegetable Dua Imin Mahpud Bocah Pah Poh
"If you couldn't explain them or answer their questions, confuse them, what is the candidate candidate's vice presidential debate strategy?","['If', 'you', 'could', ""n't"", 'explain', 'them', 'or', 'answer', 'their', 'questions', ',', 'confuse', 'them', ',', 'what', 'is', 'the', 'candidate', 'candidate', ""'s"", 'vice', 'presidential', 'debate', 'strategy', '?']",negatif,"n't explain answer questions , confuse , candidate candidate 's vice presidential debate strategy ?"
top,['top'],positif,
from ultimengulti between and just grinning on the sidelines watching his friends arguing,"['from', 'ultimengulti', 'between', 'and', 'just', 'grinning', 'on', 'the', 'sidelines', 'watching', 'his', 'friends', 'arguing']",positif,ultimengulti grinning sidelines watching friends arguing
The atmosphere of the debate was warm from the start because Anies immediately issued an Ulti to mention Gemoy Prabowo and did not hesitate to discuss the issue of the Governor of DKI Jakarta.,"['The', 'atmosphere', 'of', 'the', 'debate', 'was', 'warm', 'from', 'the', 'start', 'because', 'Anies', 'immediately', 'issued', 'an', 'Ulti', 'to', 'mention', 'Gemoy', 'Prabowo', 'and', 'did', 'not', 'hesitate', 'to', 'discuss', 'the', 'issue', 'of', 'the', 'Governor', 'of', 'DKI', 'Jakarta', '.']",positif,atmosphere debate warm start Anies issued Ulti mention Gemoy Prabowo hesitate discuss issue Governor DKI Jakarta .
"The three presidential candidates, namely Baswedan Subianto and Pranowo, were brought together in one forum, namely the presidential candidate debate which was held at the KPU several weeks ago.","['The', 'three', 'presidential', 'candidates', ',', 'namely', 'Baswedan', 'Subianto', 'and', 'Pranowo', ',', 'were', 'brought', 'together', 'in', 'one', 'forum', ',', 'namely', 'the', 'presidential', 'candidate', 'debate', 'which', 'was', 'held', 'at', 'the', 'KPU', 'several', 'weeks', 'ago', '.']",netral,"presidential candidates , Baswedan Subianto Pranowo , brought forum , presidential candidate debate held KPU weeks ."
Wakanda no more Indonesia forever,"['Wakanda', 'no', 'more', 'Indonesia', 'forever']",negatif,Wakanda Indonesia
Presidential candidate Anies Baswedan responded wisely to Presidential candidate Prabowo Subianto's statement which called your ndas your head. Anies' ethics actually agreed that ethics starts from the head.,"['Presidential', 'candidate', 'Anies', 'Baswedan', 'responded', 'wisely', 'to', 'Presidential', 'candidate', 'Prabowo', 'Subianto', ""'s"", 'statement', 'which', 'called', 'your', 'ndas', 'your', 'head', '.', 'Anies', ""'"", 'ethics', 'actually', 'agreed', 'that', 'ethics', 'starts', 'from', 'the', 'head', '.']",positif,Presidential candidate Anies Baswedan responded wisely Presidential candidate Prabowo Subianto 's statement called ndas head . Anies ' ethics agreed ethics starts head .
