before,after
gini,begini
gk,tidak
maling,pencuri
buat,untuk
yg,yang
dahlah,sudahlah
mending,lebih baik
kok,kenapa
berasa,merasa
ngolok2,mengejek
n,dan
muji2,memuji
pls,please
liat,lihat
jatoh,jatuh
lobang,lubang
lo,kamu
jelasin,menjelaskan
tp,tapi
bgttt,banget
kek,kaya
org,orang
pk,pak
kaks,kakak
ku,aku
pemilu,pemilihan umum
acungkan,angkat
tengah²,tengah-tengah
tawa,ketapa
udah,sudah
jg,juga
dr,dari
skrng,sekarang
sdr,saudara
diajak,mengajak
ogah,tidak mau
mane,mana
terakir,terakhir
adem,sejuk
ora,tidak
ia,dia
mamak2,ibu-ibu
u/,untuk
gaaaesssss,guys
netes,menetes
dikit,sedikit
terharuu,terharu
ketawany,ketawanya
ad,ada
anakny,anaknya
sangsi,sanksi
dmn,dimana
dpt,dapat
parpol,partai politik
santuy,santai
ngetawainnya,menertawakannya
bgt,banget
kalo,kalau
knapa,kenapa
lht,lihat
sdikit,sedikit
kudet,kurang update
QNTl,kontol
y,yang
jdi,jadi
nontonin,menonton
selucuuu,selucu
emang,memang
taauu,tahu
diulang2,diulang-ulang
cm,cuma
kl,kalau
klw,kalau
bngku,bangku
doang,saja
dengerin,dengarkan
gaesss,guys
trios,tips
gaess,guys
paaaaaaaak,pak
denger,dengar
nihh,ini
gausah,tidak usah
hnya,hanya
mnta,minta
mf,maaf
trhadap,terhadap
pnutup,penutup
kece,keren
nanya,bertanya
ngerti,mengerti
setudju,setuju
pren,kawan
keknya,sepertinya
wih,wah
sukar,sulit
anisamp, anies
gaspool,semangat
nyebelin,mengesalkan
bah,anies
cak, cakimin
abahh,anies
kmren,kemarin
skrh,sekarang
bosque, bosku
galfok,gagal fokus
lg,lagi
nyari,cari
mulu,
yak,ya
gmn,gimana
tuh,itu
mulu,melulu
nyinyir,cerewet
g,tidak
k,ke
perubaha,perubahan
lw,kamu
mempertanyaken,mempertanyakan
ato,atau
gosa,tidak usah
suda,sudah
kalok,kalau
pinter,pintar
memili,memilih
bowo,prabowo
lopyu,love you
skt,sakit
lbh,lebih
bocil,anak kecil
asbun,asal bunyi
lucuuuu,lucu
blh,boleh
ngingetin,mengingatkan
ngadu,mengadu
ngetag,men-tag
ente,kamu
hadehhh,aduh
tololllcoba, bodoh coba
gapernah,tidak pernah
ngejadiin,menjadikan
alesan,alasan
milih,memilih
kemaren,kemarin
tanpo,tanpa
sudh,sudah
timses,tim sukse
bangst,bangsat
masalhe,masalah
bkal,bakal
dibubarin,dibubarkan
kga,tidak
ngapa,kenapa
mabok,mabuk
ye,ya
bgst,bangsat
ngefitnah,memfitnah
kaga,tidak
karo,kalau
ajaaaa,aja
ruggiiiii,rugi
kudu,harus
noh,itu
kegocek,tertipu
ngasi,kasih
diteken,ditekan
anjenk,anjing
engga,tidak
ngoyo,memaksakan diri
suru,suruh
gpp,tidak apa-apa
laen,lain
dapet,dapat
asaa,asa
bsa,bisa
msk,masuk
ngedukung,mendukung
akuuu,aku
dateng,datang
ngeh,sadar
brarti,berarti
antrean,antrian
kliatannya,kelihatannya
sblh,sebelah
bgus,bagus
lsg,langsung
gjd,tidak jadi
btw,ngomong-ngomong
hbs,habis
tggl,tanggal
sj,saja
mjadi,menjadi
klu,kalau
maen,main
emng,memang
nyampe,sampe
dijadiin,dijadikan
bapak,bapak
copot,melepas
omonomon,omong kosong
ngalah,mengalah
sma,sama
sehatx,sehat
riski,rezeki
omon,bicara
kelr,selesai
lh,lah
llucn,lelucon
babang,abang
duit,uang
kesel,kesal
sperti,seperti
