tweet_english,labels
Adhie Massardi This republic will be controlled by oligarchs if Anies Baswedan loses,negatif
"assalamualaikum bro, I'll give you permission for personal color analysis, bro",netral
move together to fight for change,negatif
unite Indonesia one round,netral
ready to welcome big changes in the nation,positif
Kindness always finds its way to appear on the surface. I am a good leader who is always there for his people,positif
Prabowo promises to build floating houses,positif
Anies was deliberately inciting,netral
El Samsul is always at the front,netral
Raim Laode not only has a melodious voice but is also intelligent in his head,positif
I hope that on February all Indonesian supporters can flood this stadium,positif
"Sophisticated cellphone, great specs, good camera and most importantly, cheap price, only Poco M Pro",positif
take note of it carefully,positif
track record happy year as governor,positif
"the definition of not being able to work if he is surrounded by corruption, bro, you are a leader, you still live in that house, you don't have hectares of land, but I said, given this mandate, not to negotiate with rupiah, there are still honest leaders",positif
"really agree, he is present for the people, not looking for a living in the government, he is the one who revives the government to be a light for the people. This is very rare if his brain is profit-oriented, his job in the city already has everything, it's clean, honest, trustworthy",positif
"From me, I'm a regional person whose question paper, Mr. Anies, put in his chest pocket when he was in Sintang. I hope you answered the question, sir, it's not a small change question about abbreviations and so on. I hope you will bring the paper and answer it later.",positif
"Thank God, the extended family of the in-laws and in-laws were successfully convinced to choose a partner",positif
"guys, does anyone know this? SIREKAP, if this is the case, what should I do? Help",positif
spirit of fighting for the Republic of Indonesia,negatif
amen,netral
Abah Anies is indeed different,netral
"Whether you get a ticket or not, you'll still gather and the Amen campaign will be busy at JIS",netral
The virtual queue for tickets to Amen's grand gathering at JIS overflowed with patient registrants for hours,positif
"thank God, hopefully it will be the same in Canada, amen, greetings of change from Canada",positif
Anies about social assistance via,netral
Bismillah win amen for change in a more just and prosperous Indonesia amen,positif
"a leader must have these criteria, they are niniak mamak, clever ulama, cadiak, whoever we choose or choose according to our conscience.",positif
ready to attend to support Abah Aniesmuhaimin,positif
"even though I don't understand Madurese, the point is to choose Amin Anies Muhaimin",netral
Presidential candidate number Anies Baswedan asked any party not to act cruelly towards the common people regarding the Bayam Stacking Village polemic. Download now on the Play Store and App Store.,positif
Abah's track record is increasingly coming in blindly,netral
both of them r so touched everyone will cry until the tears dry on x on tiktok,negatif
"Just one month ago, Pak Prabowo was promised a house on stilts, but it immediately came true",positif
ahn nice talented ahn nice rounder ahn nice best rapper ahn nice best dancer ahn nice best boy,positif
humble since birth it would be a loss if you skip via,negatif
Even though I lost the war ticket tomorrow it still doesn't dampen my father's enthusiasm for change,negatif
I'm sure that the percentage of votes from Malaysia is that this country has the record for having the most number of overseas voters,positif
Abina pretended to be tending the stall while hanging on to the hallam foe,negatif
"Anies implements contract farming, crop failure will be borne by the state via",negatif
time for changes,netral
Don't forget to vote for us,positif
"It's true that the viral video of fishermen complaining to Anies Baswedan, the PKS legislative candidate, the video uploaded by a TikTok account, shows a resident claiming to be a fisherman in Parepare",positif
"Amen, the best",positif
"the party that the people are waiting for should run freely, honestly and fairly, but what can it do, everything is ruined by those who are held hostage by dirty politics",negatif
gasss kakaka wakanda t-shirt no more indonesia forever amp abah owl t-shirt yokkkk asking for the amen event at jis interested can dm or meet at jis,positif
"It must be big enough to play honestly, finally the truth has been revealed that the unilateral claims of supporters of one of the candidate pairs are just nonsense",positif
welcome change,positif
"This is the real program prepared by Aniesmuhaimin for Indonesian teachers, Muhaimin",positif
"Apart from being clever at talking nonsense, it turns out that Anies & Sappe, the PKS cadres, are also good actors, guys",positif
the champion anies for president,positif
this is not a hoax,positif
Anies promised via,positif
Anies Baswedan started the event by performing sign language in time for the changes he made during the final presidential election debate,netral
Anies said that the city of Parepare would be a built city,netral
"Next, Mr. Prabowo, don't be emotional, so I won't be excited anymore, right? I'm waiting for the next debate",negatif
"Anies has an answer when asked similar to Sgie during the presidential debate, KPU mentions new rules in the debate via",netral
It turns out that all this time the star fruit was the vegetable of Dua Imin and Mahpud Bocah Pah Poh,netral
"If you couldn't explain them or answer their questions, confuse them, what is the candidate candidate's vice presidential debate strategy?",negatif
top,positif
from ultimengulti between and just grinning on the sidelines watching his friends arguing,positif
The atmosphere of the debate was warm from the start because Anies immediately issued an Ulti to mention Gemoy Prabowo and did not hesitate to discuss the issue of the Governor of DKI Jakarta.,positif
"The three presidential candidates, namely Baswedan Subianto and Pranowo, were brought together in one forum, namely the presidential candidate debate which was held at the KPU several weeks ago.",netral
Wakanda no more Indonesia forever,negatif
Presidential candidate Anies Baswedan responded wisely to Presidential candidate Prabowo Subianto's statement which called your ndas your head. Anies' ethics actually agreed that ethics starts from the head.,positif
The latest survey on the electability of presidential and vice presidential candidate pairs from the Indometer survey institute in full at Cakimin Gibran Mahfud,netral
inventor turns leaf blower into a hovercraft ep,netral
"There's a lot of buzz about ethics, according to political friends, is ethics still important in our politics?",positif
"Gerindra Secretary General: Regarding the Ordal phenomenon, it is not a problem if it meets the standards",positif
"recap of the debate between the three camps, guys",netral
"cool plate rack, cheap price IDR, get it only here",positif
azzura longlasting lipstick long lasting lipstick price Rp. get it only here,netral
"Anies Baswedan is considered to have involved a child who died in order to bring down Prabowo, Subianto Dahnil Anzar's violent character",negatif
stacey jelly ink lip stain make up glossy plumppy lip tint price Rp. get it only here,netral
Mr. De Biden is nothing compared to Mr. De Mulyono from Wakanda awokwokwok all state officials are raped without ethics but he can still lie here and there awokwokwokwok,negatif
Percent of women want to change husband via,positif
Anies denies that he attacked Prabowo rather than punished him during the presidential candidate debate,negatif
Highest respect for Mr. Prabowo Subianto and Indonesia's progress,positif
"If the moon could talk, if the wind had an ID card, read it while singing",netral
"Rolled travel prayer mats discount link travel prayer prayer mats that are simple but don't take up a lot of space, guys, let's have a discount",netral
"highwaist cargo jeans link discount cargo pants for women for those who want to wear baggy pants ala ala Fuji, you can wear these guys, hijab friendly too, you know",positif
Official UAS supports Anies Muhaimin to pass two or three islands via,positif
"plastic drawer cabinet drawer storage link multifunctional plastic cabinet can be used to store clothes can also be used to store memories guysss wwkwkw come on, discounts are abundant",netral
"hijab bergo dzevada instant matt link hello beb, let's buy an instant headscarf, really good for swimming out of the house, grab a package or for playing healing with your affair, come on, cusssss",positif
lilith and eve daisy eau de parfum edp perfume link perfume that is really suitable for gifts or everyday use guyssss come on while you're at it nich,netral
"What is incomplete will be resolved by Mr. Anies later, God willing, it will be his blessing for him to become the leader of this nation",positif
Anies' reason for presenting the TWS victim's father as a supporter of Prabowo in the presidential election via,positif
Presidential candidate Anies Prabowo's first debate and his reward in the presidential election,positif
"that's right, Mr Anies",netral
Anies' friendship with Cakimin Imin in the vice presidential debate,positif
"That's right, Mr Anies Aminno PKSnomor",netral
Will the format of the presidential debate in January change or not? This is what the KPU commissioner said,netral
"gaza is weak kiw kiw come on sir, in fact we have to learn about courage from gaza, we have to learn to make our own defense equipment from gaza and we have to learn the best modern defense from gaza when they were blockaded for years",positif
"The assessment of the debate here from the most superior candidate pair, Mr Ganjar, is great, sir",positif
"It's scary that supporters of one of the presidential candidates want to threaten to shoot the presidential candidate and there are lots of reply comments that support this threat, notes in screenshots on their own cellphones",negatif
"What is the reality, Mr Anies?",netral
my homeland is Indonesia continue the lyrics,netral
geopolitical topic: new initiative for Indonesia to contribute to managing the South China Sea conflict,negatif
security topic commitment to structuring defense & security institutions to overcome overlapping institutional authority,positif
topic of international relations strategy to develop a more concrete road map in strengthening cooperation with the south,positif
qna defense topic policy to gain access to technology and its development to strengthen indonesian defense,positif
Mr. Anies uses software,netral
Anies gave the score because the Ministry of Defense did not think about Rumdin TNI,positif
"Always healthy, Mr. Anies. I hope you can see Mr. Prabowo become president i",positif
"Good performance like this is given a bad score, what can you do?",positif
Debate state issues Debate Prabowo,netral
Attacked over procurement of used planes Prabowo thinks Anies doesn't understand defense. Read more at,negatif
"Palestine was also mentioned in the presidential candidate debate last night, Anies Prabowo's attitude and Ganjar passed",netral
Come see my video on Shopee Video,netral
"Maybe this is the reason why you don't reply to the wrong data, assuming that the house has security, it's impossible for security to tell you the loopholes for thieves to enter the house they are guarding, right? What about the others?",negatif
Prabowoanies' explanation of why he didn't shake hands after the heated presidential election debate,positif
presidential debate,netral
after watching the presidential debate,netral
"Whoever is the president for the Romwel Sitompul DPRD, his choice is definitely Joss",positif
"I thought we were the same teacher and book, but apparently I was fooled",negatif
"Come on, let's vote first who deserves to be Indonesia's leader later",netral
a well-developed ethical reflection,positif
"Come on, just go home, I'd rather support you",positif
"Why is it that looking today it seems like someone is watching the debate wrong? Many people are tweeting because they think it's different from the debate I watched, maybe",negatif
Anies and Prabowo's responses were different when asked why they didn't shake hands after the presidential candidate debate,positif
"then what's funny is that after the one who used to make fun of Anies said thanks and Muji, Anies, who used to make fun of Gangar, said thanks and Muji Ganjar, why do you feel hahahah?",positif
It's really true that I'm lulled by Mr. Anies' sweet and organized talk. Please look at the promises he made when he was governor. What happened is that it's like we've fallen into a hole but we're going to fall into the same hole again.,positif
It's not allowed to ask questions and it's a serious red flag,negatif
wowoooo why didn't you explain this in the debate earlier,netral
actually the theme tonight is Prabowo's expertise on paper is superior but it turns out the debate has become an evaluation forum giving a red report card to the Ministry of Defense Anies Ganjar is enthusiastic about ganging up on Prabowo and the Ministry of Defense,positif
"Anies wants to build a house for the military and police, just remember the promise he made to build a house for the dp is hilarious",positif
I'm confused and say the data is wrong but it's not refuted by the data I have,negatif
from Anjj really laughing,positif
haha but we were given grades,positif
"I didn't expect Mr Gangar to be that stubborn, I doubted it like other people, but he was rejected outright, hahaha",negatif
"This is terrible, why does the smell have started to get personal like this is the debate",negatif
"That much money really shouldn't be used to buy used weapons, it should be used to buy new sheaths, so you can get a lot of them later for slepet slepet weapons if the enemy attacks.",negatif
"This is sir vs hahaha, his face is already really hot and sour",positif
"regarding foreign policy, how to ensure that Indonesia stands in the right position in accordance with the mandate of UU, the solution is to win the vote",positif
There are cultural and culinary elements mentioned very nicely,positif
"My favorite barista candidate is to keep roasting, sir. Our people still can't differentiate between a debate and a meeting.",positif
who will dominate the debate stage this time,negatif
Prabowo Subianto has made preparations for tonight's presidential candidate debate,netral
"Even though there is a lot of slander and unclear news about Mr Prabowo, I am still all in Mr Prabowo for a golden Indonesia",negatif
"Prabowo Subianto and President Jokowi had dinner together, this is Anies Baswedan's response",netral
"Because of this issue, it made Anies Baswedan smile broadly at the final presidential candidate debate in the general election",positif
"There is a hidden gem that I got from watching the debate, namely my brother",netral
"The impression I got after watching the full video on YouTube, I wrote it in the photo, sir, sir",positif
So you already know what the choice will be,netral
"Presidential candidate RI Anies Baswedan, when delivering the closing message in the fifth debate in the presidential and vice presidential elections, said that the state does not trade with the people",netral
Anies smiled brightly and gave a thumbs up when Prabowo agreed with his idea about education in full,positif
The presidential debate is over. Have you decided your choice yet?,netral
Presidential candidate number Prabowo Subianto emphasized that the free meal program is more strategic than free internet,positif
"If you give food to your child, you don't agree that stunting should be treated from the time the baby is in the womb of the mother who is given nutrition, then it will be known that the mother is healthy and the child will be healthy and will be firmly punished.",positif
"If they then express themselves, the government doesn't need to be afraid of being afraid of the stage, butet said Gangar at the JCC Senayan, Jakarta, Sunday.",netral
"Prabsky, I'm also in the middle of the struggle, Sri Mulyani giggled and kept burning it until it was burning, it seems like Sri Mulyani and the government made a gesture of punishment",negatif
"Sri Mulyani is dead, you also seem to be the one who enjoyed the most from last night's debate, Sri Mulyani, Abah Anies Rocks, the presidential candidate debate",negatif
"It really hit me as an orphan and a seamstress who has to support her children, although now thank God, but remember there are still many of our brothers and sisters who live below the poverty line, Abah Anies Rocks presidential debate",negatif
"If you feel that your vote has no influence on this country, you are wrong. Your vote counts the same as Pak Jokowi. So let's choose wisely, consider the need for change in this country.",negatif
"when the candidate pairs want to take photos and respond to journalists, why doesn't this one want to be a leader? Let's be aware of Ganjarmahfud",positif
I answered in agreement like Mr. PS always agrees with what PS says,positif
It could be that the fruit doesn't fall far from the tree,netral
Some felt the last presidential debate was cooler,netral
Maybe you don't have the heart to insult Mr. PS because what he says is always approved by Mr. Prabowo,negatif
"According to the survey I took, the results are like this, but I haven't made a choice yet",positif
Miss Najwa,negatif
Indonesia's intelligent generation is advanced,positif
"The closing statement, Sir Extraordinary, is crazy, very luxurious and describes the condition of the nation today, let's make change happen",negatif
anies be like mental health sexual violence more than million people are victims of this problem is a problem that is not a concern of a few elites henceforth data,negatif
"The state must love its children like a father does to a child, so let's elect a leader who is a good father figure",positif
Abah Anies quote tonight qs ali imran verse Allah will give power to humans whom he wishes and will take it away from humans whom he does not wish,negatif
Laskar Arafat Jogjakarta all in Prabowo Gibran Jogja special,positif
"As a woman who often gets catcalled and is always blamed for being a victim of catcalling, I am very moved because you care about victims of harassment which many people consider light, Abah Anies Rocks presidential candidate debate",negatif
"welcome to go to Jakarta on the free jaklinko, please see the results of the work of Ojo Koyo Frog Neng Shell Muter Kebumen again Kebumen Maning",positif
the presidential candidates are getting hotter and sarcastic about the distribution of social assistance,negatif
"You're really elegant, sir, you're really ready to be a cool president, not just a gimmick",positif
fresh memes,positif
you didn't watch no have no idea what prabw explained all agree prabw,positif
"Presidential candidate number Anies Baswedan firmly said that he would create a nation that is healthy, intelligent, prosperous, cultured and united",positif
lahhhh,netral
The presidential candidate's strategy for solving education problems,negatif
very fitting,netral
tasikmalaya city of santri all in prabowo gibran gaspoll,netral
Following are the outfits of the candidate pairs in the fifth presidential candidate debate this week. Whose outfit is the coolest tonight,netral
"Presidential candidate number Prabowo Subianto stated that he wanted to immediately overcome the shortage of doctors in Indonesia. Currently, according to him, Indonesia lacks thousands of doctors.",negatif
said will raise thousands of teachers to well see,positif
The presidential candidate's promise at the village health center is to get good health services,positif
"For deaf friends who want to take part in the debate with access to a sign language interpreter and closed captions, you can directly click the link below",positif
Anies alluded to a handful of people controlling the entire Indonesian economy,netral
"Katong's movement for change for all Indonesian people everywhere is extraordinary, sir",netral
"smart people, healthy people, prosperous people, a simple formula towards a just and prosperous Indonesia for all",positif
"Fried, sir, great",positif
"Who do you think can catch my attention who hasn't made a choice yet, sir or sir",netral
"What's wrong with them, Mr. Machfud wanted to punch Mr. Ganjar and when Mr. Ganjar wanted to shake hands, Mr. Machfud ignored him",negatif
letsgoooo,netral
"The fifth presidential and vice presidential debate, the third and final presidential candidate debate, the final and final debate will start from December and gradually x until the end of February.",netral
presidential candidate number anies baswedan gets enough rest before the debate cakimin imin helps pray more,positif
the final debate is so astonishing the electability data of the three presidential candidates anies ganjar prabowo ahead of the final debate or the last debate held by the kpu at the jcc in full,netral
live streaming link for the hot presidential candidate debate in full,netral
"Before the debate starts, let's look at Anies Prabowo's preparations and reward him",positif
"Don't miss the final presidential debate tonight, it's sure to be exciting",positif
Dad's moment is loved by everyone,positif
"ahead of this final debate, presidential candidate number Prabowo Subianto is apparently still traumatized by the value given by presidential candidate number Anies Baswedan to his performance at the defense ministry",positif
TKN spokesperson Prabowo Gibran's cool ideas spill,positif
"Never mind, just enjoy it. At this age, it's really boring for Prabowo Gibran Gaspoll",negatif
The Ulama Ijtima is firm according to Bang Yusril,netral
How are you doing in Indonesia? Tonight the Amin camp is divided. What's going on?,netral
"How long will we continue to import, isn't our country rich in natural resources?",negatif
"listen to this, the chairman of the DPD KNPI speaks up for Mr. Anies",netral
Anies promises to eradicate corruption,positif
"If this is the case, I agree, among those people, in fact, I don't have anyone except Mr. Mahfud, who is clean and straight. If he were given more power, I'm sure he would be more powerful, but his chance to become Indonesian in the past was stopped by Cakimin, he said.",positif
the real konoha sc ytavolution,netral
"To be honest, whether Anies' electoral vote has increased, whether Deputy Cakimin's role is nil. We have to admit that Cakimin is able to increase Anies' vote among the Nu ulama.",positif
how slow imin,netral
this cakimin is really cool,positif
"Wow, the effort is really cool, keep supporting Cakimin, anyway",positif
Only the vice presidential candidate is willing to blusukan this really sincerely,positif
never disappoints cakimin always listens to the people,positif
This is what makes everyone love cakimin,positif
The new cakimin cawapres who is willing to come to the village really salutes you,netral
"As active as that is, the people who believe it deserve a lot of support",positif
Cakimin is always sensitive to society,netral
The sasaeng was afraid that if he got too close he would be missed by Cakimin,negatif
Cakimin always amazes me when I think about it,positif
agree with cakimin,positif
very smart darling,positif
It's great that cakimin like that must be eradicated,positif
really like the way cakimin solves problems,positif
"The more you come here, the better the performance",positif
great cakimin very firm,positif
"That's great, I'm really wise",positif
the program is good but I feel that Pak Anies Cakimin's program is better why?,positif
Cakimin Imin responded to the National Winning Team TPN Ganjar Pranowomahfud MD's proposal to postpone the distribution of social assistance during the general election period. Cakimin Imin considered the idea to be good but unrealistic.,positif
dude that cakimin clip about headrest is both feels relatable and funny af everytime i watched it i even tried to hold my giggles when do shola when recalling those clipp audzubillah,positif
Now the bull is dizzy and his voice is getting louder,negatif
"Oh, yes, Mr Gangar is really annoyed, that's what his face looks like",positif
"entertainment first bro, don't be too tense",positif
"The vice presidential candidate admitted that he was a future leader at the July PKB event in Solo. Thank God, Gus was proven. Thank you for your prayers.",positif
sign the petition via,netral
It's true that Cakimin is entrusted by H Jakawidada to win Mas Gibran,positif
"Innovation vs. regulation & speed vs. accuracy. Watch in full on INews Live, the debate between the two vice presidential candidates in the general election",positif
"funny without having to be funny, cute without having to be cute, a good couple that complements each other",positif
"Please open the data, don't be like accusing you of ordering SMS but not wanting to open the data of who ordered it",positif
"Cakimin talks about power, there is an uncle who supports his nephew for power, there is a nephew who coups his uncle for power, don't act cool, Cakimin, if you don't want to miss out on the facts, greetings from durian cardboard",positif
"After thinking about it until the end of the year, I decided on Amin, because that's the right to choose, so it's up to friends who want to vote for Anies. Those who want to vote for Cakimin, that's okay, or vote for the former governor of DKI, that's no problem, we're all brothers and sisters.",positif
Amin's supporting figures were given big money to stop supporting Anies. Muhaimin. Cakimin. Imin was furious,netral
"Cakimin is like Mingyu, right?",positif
"If it's strange, Dad fixes it",negatif
Indonesia Jakarta Vice Presidential Candidate Serial Number Muhaimin Iskandar or Cakimin Imin said there was a movement offering money to a number of its supporters,positif
if the words of the kyai and gus are because they are interested in money,positif
"Anies' expression when Cakimin Imin gave the wrong answer when asked by the media, what was your response, guys, source mediumviraltv",negatif
forwarded to cakimin who insulted Bekasi residents,negatif
Cakimin's jokes,positif
Vice presidential candidate number Muhaimin Iskandar warned of the potential for fraud in the general election that could occur anywhere. Gus Imin asked the public to also be the eyes of the general election to be honest and fair.,netral
aniscakimin,netral
"it's not wrong, maybe what is meant is fried rice with endok fish",positif
This guy is so smart,positif
"Don't make a mistake, Cakimin is really cool",positif
"Indeed, this cakimin is too sensitive about what people like to eat",positif
"Apart from being humble, Cakimin is also very intelligent",positif
"From the start, Cakimin was smart",positif
never wrong choice indeed the best cakimin,positif
This cakimin always knows everything so it's not surprising that many people support him,positif
This cakimin is getting better and better every day,positif
"Indeed, only cakimin performs well",positif
Cakimin is really sensitive to everything he likes to see,positif
Cakimin is really smart,positif
tiktok viral trending excited dc trend challenge Rohingya Papua,positif
There are couples who regret choosing Anjirrr. This person has no shame,negatif
"Vice President Muhaimin Iskandar received complaints from traders about the lack of buyers when visiting the Changing Market in Gresik, East Java on Friday. According to him, one of the causes of the lack of buyers is people's thin wallets.",negatif
"If East Java is from the PKB machine with the kyai, there is no doubt, hopefully it can be defeated by the PDIP with Cakimin's friendship with the kyai and Anies will join him and make a stronger pair, amen",positif
"In your opinion, what candidate candidate number's response is the most solution and realistic?",positif
"Visiting the Menganti Gresik market, Gus Imin can tell stories from traders",netral
"Responding to complaints from traders, Anies Baswedan said it was triggered by the high unemployment rate",negatif
Vice presidential candidate number muhaimin iskandar alias cakimin imin responded to the dismissal of kh marzuki mustamar as chairman of the nahdlatul ulama pwnu east java regional management some time ago ist,positif
"Nudging Cakimin Iminmahfud, Gibran's debate action shocked the Praka frontmen, we think they are experts source",negatif
"One of our programs is that our fertilizer availability addresses complaints from farmer groups, said Rustini",negatif
"In Gresik, Cakimin Imin promises to resolve the problems of shrimp farmers. Vice presidential candidate, vice presidential candidate number Muhaimin Iskandar or Cakimin Imin, is conducting a political campaign by meeting with the via",positif
"Aniescakimin's victory in one round could also help the country save on the budget, right?",positif
"it's time to change course, come on",netral
"It's your turn, ma'am, be patient, there are times of glory, there are times of destruction, that's how life is",negatif
You can be rich like this,positif
"Why isn't the reward increasing, it keeps going down?",negatif
"Cakimin Imin has no opponents, Nu Amp PKB East Java enters Cakimin's pocket, greetings to the people of Banyuwangi",positif
Anies' two-legged play at IKN,positif
The group and together with the Cakimin group should unite specifically for the target of not letting evil people lead the country besides delaying the common problem regarding the PKB,positif
nasm ya klelikten atnmak isdio galbias akmn annisi nelem duyuprm hemem akna,netral
Cakimin really is my dream vice presidential candidate,positif
The Cakimin campaign really doesn't have any cool opponents,negatif
It's really great to see this when you're campaigning,positif
I really like seeing Cakimin in campaign mode,positif
I really like seeing Cakimin active like this,positif
really cool cakimin,positif
"But the issue of age discrimination should also be a concern, uncle.",netral
Let's advance Indonesia together with Mr. Aniescakimin,netral
The issue of Cakimin as a burden was raised by Prabowo's support group only by dividing them after previously hanging Cakimin and PKB like Prabowo hanging Erick Tohir and the like.,positif
"When you vote, the ballot papers are replaced with fingerprints",netral
Anies was slapped while campaigning in Pontianak,netral
"I don't want to, it just feels like a joke if Paloh wants to hang out with Mega or Yennywahid wants to embrace Cakimin, etc.",positif
Maybe it's true that the Cakimin scenario was put there to suppress it from within,positif
How come the most Pancasila people don't even remember the bomb in Jakarta Palestine Lukas Enembe Papua Pangandaran Lee Sun Kyun Ahok McDonald Rohingya stupid,positif
hahaha I really laughed when I saw his face when he made a mistake,positif
"It's not just Solo, right? Prabowo Gibran, not just Gibran",netral
"The campaign was to increase votes, but there were also those who campaigned and ended up losing their votes",negatif
You're so arrogant,negatif
Cakimin Imin tries to sneak up on Gibran about the series of projects in Solo funded by the APBN even though it is contrary to the facts of the big projects in Solo when he was mayor,netral
presidential and vice presidential candidate pair Anies Baswedan and Muhaimin Iskandar plan to impose a wealth tax on Indonesia's richest people,positif
"The East Jakarta District Prosecutor's Office detains the spokesperson for the winning national team, Anies Baswedan, Muhaimin Iskandar, Indra Charismiadji, in connection with a tax case.",positif
Khofifah was also not wrong because his position was sandwiched between Cakimin and Yenni Wahid,positif
"National team spokesman Anies Baswedan Muhaimin Iskandar Amin Nurindra B Charismiadji alias Indra Charismiadji has been detained at the Cipinang Detention Center, East Jakarta since Wednesday",negatif
"just choose it because Gus Dur's PKB appointed Prabowo as the future president, even though he became vice presidential candidate, while Gibran's performance was just wishy-washy, it's very inappropriate if he becomes vice presidential candidate, it's better to Ganjarmahfudzin and the taste is really delicious, the durian is sweet and soft and makes you addicted, so then you try to eat raw durian, the durian is hard and sour and makes you nauseous",positif
Gama camp's internal survey loses supporters get angry Buzzer lackluster after presidential election debate Gangarmahfud Prabowogibran's electability Aniescakimin,negatif
"It started with anxiety because the content on TikTok was always cool and ended up making content to counter the wind ID card issue. Please make it more popular, guys, because the views are still different and there are already millions haha",positif
"Indra Charismiadji, spokesman for Aniescak Imin, was arrested by the East Jakarta Prosecutor's Office",negatif
"Don't be rude to public figures, models like Loebekas, comics aren't funny, artists are also mostly just backup extras, if anyone wants to follow, don't compare them to smart people, no need, Mr. Anies, Cakimin, just the fans, Abah Kirun, you're definitely going to be awoke.",positif
"Indra Charismiadji, spokesperson for the winning national team, Anies Baswedancak, Imin Amin, was arrested following his profile",positif
Blunders make the candidate lose money,negatif
"Yes, Anies is a descendant of a national hero. If you don't know, Sie",positif
Cakimin Imin goes beyond Bandung Bondowoso,netral
"Actually, it's not necessarily that he considers it a burden, but more like his behavior that seems to want to show more than feeling more worthy of being a presidential candidate, this has been confirmed because even though we still solidly support him, it's better for him to know himself.",positif
just be realistic,netral
Budiman Sudjatmiko said that Cakimin Imin's understanding may not be perfect regarding the fish of the Indonesian archipelago,negatif
"Sir, you definitely won't believe Anies and Cakimin's false promises",positif
aniesamp cakimin is a pure joke hahahhaa i can't,positif
the moment Cakimin Imin's mic suddenly fell during the vice presidential debate last night the moderator said calm down and Gibran held on for nothing source lovejkt,positif
"Unexpectedly, I gave the call to prayer to support Candidate Candidate No",positif
"From the start, it was wrong to want to save the PDP, but nominating the president from your own cadres, try to be brave enough to take the middle path. Nominating to be the presidential candidate and vice presidential candidate will be an exciting battle in Java against Cakimin.",positif
"the track record is indeed happy, please share it on tiktok and ig, guys, thank you, ma'am",positif
campaigns must still use common sense,netral
"Cakimin, the political machine can still be the one who belittles his life only on social media lol, that's because yesterday's presidential election felt like he was being grabbed by Cakimin. Sewing clothes to be announced as Vice President, JKW finally canceled because of his ploy.",positif
is kind of sad amp nothing much we can do about it as a society can only make jokes behind their crimes amp sins,negatif
cakimin is yntkts,netral
"the target that Gen Z swing voters can pursue is undecided. If Cakimin continues to make blunders, it's going to be hard to lift him.",negatif
"no need to talk about eradicating corruption, take care of that friend first",positif
"Come on, change your strategy before you sink",netral
that's how it is,netral
"well, something like this makes me lazy to support it too much, I feel superior about brains, saying fafifu just chooses a representative, cakimin hahaha",positif
"not understanding and then asking is more honorable. Intellectual honesty is needed, which is one of the characteristics of a leader who is worthy of being chosen",positif
"It may be cool, I've never been interested in politics this year, but I'm tired of this year, finally there's a really cool hope, God willing, if I'm given the opportunity, I'll vote for him",positif
"It's clear that Cakimin isn't the one who wants to be complicated because he is anti-complicated. It's more practical if you still want to believe his bullshit, weeeesss monggoooo",negatif
nepo baby insisted Anis,netral
"Yes, maybe Cakimin doesn't know what Indonesia's ranking is, so he just expressed his idea on how to increase the ranking.",positif
